#Nnodes	depth	mean_depth	Leaves_mean_depth
2	2	1.5	2
4	2	1.75	2
2	2	1.5	2
29	3	2.03448	2.07407
2	2	1.5	2
2	2	1.5	2
8	2	1.875	2
2	2	1.5	2
32	4	2.46875	2.625
37	4	2.2973	2.34483
7	2	1.85714	2
8	2	1.875	2
3	2	1.66667	2
6	2	1.83333	2
2	2	1.5	2
3	2	1.66667	2
10	2	1.9	2
2	2	1.5	2
2	2	1.5	2
2	2	1.5	2
2	2	1.5	2
2	2	1.5	2
2	2	1.5	2
9	3	2.44444	2.71429
13	3	2	2.09091
2	2	1.5	2
2	2	1.5	2
8	2	1.875	2
4	2	1.75	2
2	2	1.5	2
2	2	1.5	2
2	2	1.5	2
7	2	1.85714	2
4	2	1.75	2
2	2	1.5	2
2	2	1.5	2
185	6	2.77838	2.84868
69	4	2.53623	2.60656
4	2	1.75	2
6	2	1.83333	2
5	2	1.8	2
3	2	1.66667	2
6	3	2.33333	2.75
3	2	1.66667	2
2	2	1.5	2
3	2	1.66667	2
9	2	1.66667	2
16	4	2.625	3
4	2	1.75	2
3	2	1.66667	2
19	3	2.26316	2.375
2	2	1.5	2
16	4	3.0625	3.5
2	2	1.5	2
2	2	1.5	2
2	2	1.5	2
2	2	1.5	2
2	2	1.5	2
126	10	3.46032	3.45
2	2	1.5	2
2	2	1.5	2
2	2	1.5	2
2	2	1.5	2
2	2	1.5	2
5	2	1.8	2
7	4	2.28571	2.5
3	3	2	3
2	2	1.5	2
7	2	1.85714	2
4	2	1.5	2
2	2	1.5	2
7	3	2.57143	3
2	2	1.5	2
5	3	2.4	3
5	3	2	2.33333
3	3	2	3
4	2	1.75	2
5	2	1.8	2
2	2	1.5	2
3	3	2	3
5	3	2.2	2.66667
2	2	1.5	2
5	2	1.4	2
2	2	1.5	2
2	2	1.5	2
3	2	1.66667	2
2	2	1.5	2
2	2	1.5	2
2	2	1.5	2
3	3	2	3
3	2	1.66667	2
3	2	1.66667	2
2	2	1.5	2
19	2	1.94737	2
3	2	1.66667	2
2	2	1.5	2
7	3	2	2.2
2	2	1.5	2
2	2	1.5	2
2	2	1.5	2
2	2	1.5	2
5	2	1.8	2
49	6	3.34694	3.72727
2	2	1.5	2
2	2	1.5	2
2	2	1.5	2
31	3	2.03226	2.06897
14	2	1.92857	2
3	2	1.66667	2
3	2	1.66667	2
2	2	1.5	2
2	2	1.5	2
3	2	1.33333	2
13	4	3.23077	3.6
3	3	2	3
3	2	1.66667	2
2	2	1.5	2
2	2	1.5	2
13	3	2.15385	2.3
3	2	1.33333	2
2	2	1.5	2
2	2	1.5	2
2	2	1.5	2
2	2	1.5	2
3	2	1.66667	2
4	3	2.25	3
2	2	1.5	2
3	2	1.66667	2
2	2	1.5	2
2	2	1.5	2
4	2	1.75	2
3	2	1.66667	2
7	2	1.85714	2
3	2	1.66667	2
2	2	1.5	2
2	2	1.5	2
4	3	2.25	3
2	2	1.5	2
3	2	1.66667	2
2	2	1.5	2
2	2	1.5	2
3	2	1.66667	2
2	2	1.5	2
2	2	1.5	2
2	2	1.5	2
12	2	1.83333	2
2	2	1.5	2
2	2	1.5	2
2	2	1.5	2
2	2	1.5	2
2	2	1.5	2
2	2	1.5	2
2	2	1.5	2
17	3	2.17647	2.28571
2	2	1.5	2
12	4	3.08333	3.44444
2	2	1.5	2
6	2	1.83333	2
2	2	1.5	2
4	2	1.75	2
3	2	1.33333	2
5	3	2	2.33333
3	2	1.66667	2
2	2	1.5	2
2	2	1.5	2
10	3	2	2.28571
3	3	2	3
32	4	2.03125	2.16667
3	2	1.66667	2
2	2	1.5	2
2	2	1.5	2
2	2	1.5	2
9	4	2.33333	3
3	2	1.33333	2
2	2	1.5	2
2	2	1.5	2
2	2	1.5	2
2	2	1.5	2
2	2	1.5	2
3	2	1.66667	2
3	2	1.66667	2
2	2	1.5	2
2	2	1.5	2
2	2	1.5	2
2	2	1.5	2
4	2	1.75	2
6	2	1.83333	2
2	2	1.5	2
2	2	1.5	2
3	2	1.33333	2
2	2	1.5	2
3	2	1.66667	2
4	3	2.25	3
2	2	1.5	2
4	2	1.75	2
2	2	1.5	2
2	2	1.5	2
2	2	1.5	2
4	2	1.75	2
2	2	1.5	2
2	2	1.5	2
2	2	1.5	2
7	3	2.28571	2.6
3	2	1.66667	2
3	2	1.66667	2
10	2	1.9	2
2	2	1.5	2
24	3	2.08333	2.13636
4	2	1.75	2
4	2	1.75	2
2	2	1.5	2
3	2	1.66667	2
2	2	1.5	2
2	2	1.5	2
2	2	1.5	2
2	2	1.5	2
3	2	1.66667	2
2	2	1.5	2
69	3	2.65217	2.69697
2	2	1.5	2
7	3	2.28571	2.6
958	6	2.3476	2.37428
57	2	1.96491	2
3	2	1.33333	2
3	2	1.66667	2
25	3	2.04	2.2
3	2	1.33333	2
3	2	1.33333	2
19	2	1.89474	2
7	3	1.85714	2.25
39	3	2.02564	2.12121
18	2	1.88889	2
127	5	2.62205	2.74
2	2	1.5	2
2	2	1.5	2
114	3	2.14912	2.16364
5	2	1.8	2
3	2	1.66667	2
3	3	2	3
3	3	2	3
3	2	1.66667	2
7	4	2.14286	2.66667
2	2	1.5	2
2	2	1.5	2
3	2	1.33333	2
3	2	1.33333	2
3	2	1.33333	2
3	2	1.33333	2
3	2	1.33333	2
4	2	1.75	2
3	2	1.33333	2
5	2	1.8	2
2	2	1.5	2
2	2	1.5	2
2	2	1.5	2
3	2	1.66667	2
2	2	1.5	2
2	2	1.5	2
3	2	1.66667	2
3	2	1.66667	2
4	2	1.5	2
10	3	1.6	2.25
2	2	1.5	2
5	2	1.8	2
4	2	1.75	2
4	2	1.75	2
2	2	1.5	2
3	2	1.66667	2
5	2	1.8	2
8	4	2.125	2.5
3	2	1.66667	2
5	3	2	2.33333
5	2	1.4	2
14	3	2.57143	2.75
2	2	1.5	2
2	2	1.5	2
15	4	2.33333	3.33333
3	2	1.66667	2
3	2	1.66667	2
2	2	1.5	2
2	2	1.5	2
7	2	1.85714	2
3	2	1.66667	2
4	2	1.75	2
2	2	1.5	2
2	2	1.5	2
2	2	1.5	2
2	2	1.5	2
2	2	1.5	2
50	3	2.26	2.29787
3	2	1.66667	2
2	2	1.5	2
2	2	1.5	2
2	2	1.5	2
3	2	1.33333	2
3	2	1.66667	2
2	2	1.5	2
3	2	1.66667	2
13	3	2.76923	3
12	3	2.75	3
2	2	1.5	2
2	2	1.5	2
3	2	1.33333	2
7	2	1.71429	2
10	2	1.8	2
3	2	1.33333	2
2	2	1.5	2
2	2	1.5	2
2	2	1.5	2
2	2	1.5	2
2	2	1.5	2
2	2	1.5	2
2	2	1.5	2
10	3	2.5	3
8	4	2.375	4
2	2	1.5	2
3	2	1.66667	2
2	2	1.5	2
19	3	2.26316	2.375
5	3	2.2	3
135	2	1.99259	2
37	2	1.97297	2
3	2	1.66667	2
2	2	1.5	2
7	3	2	2.2
3	2	1.66667	2
2	2	1.5	2
2	2	1.5	2
5	3	2	2.33333
2	2	1.5	2
2	2	1.5	2
16	2	1.9375	2
2	2	1.5	2
5	2	1.8	2
5	4	2.4	3
7	4	2.71429	3.25
14	3	2	2.08333
2	2	1.5	2
3	2	1.66667	2
5	3	2.2	3
3	2	1.66667	2
3	2	1.66667	2
4	2	1.75	2
3	2	1.66667	2
2	2	1.5	2
2	2	1.5	2
3	3	2	3
2	2	1.5	2
2	2	1.5	2
2	2	1.5	2
2	2	1.5	2
2	2	1.5	2
2	2	1.5	2
2	2	1.5	2
2	2	1.5	2
2	2	1.5	2
2	2	1.5	2
16	3	2.25	2.41667
8	4	2.375	3.66667
3	2	1.66667	2
4	2	1.75	2
6	2	1.83333	2
2	2	1.5	2
2	2	1.5	2
2	2	1.5	2
4	2	1.75	2
2	2	1.5	2
2	2	1.5	2
6	3	2	2.25
2	2	1.5	2
2	2	1.5	2
3	2	1.33333	2
2	2	1.5	2
2	2	1.5	2
2	2	1.5	2
6	3	2.33333	3
2	2	1.5	2
11	4	2.36364	2.5
2	2	1.5	2
9	3	2.55556	3
12	3	2.25	2.4
37	3	1.72973	2.08696
3	2	1.66667	2
2	2	1.5	2
20	2	1.95	2
2	2	1.5	2
10	2	1.9	2
2	2	1.5	2
3	2	1.66667	2
4	2	1.25	2
15	3	1.86667	2.09091
2	2	1.5	2
50	5	2.12	2.39394
8	2	1.875	2
2	2	1.5	2
2	2	1.5	2
2	2	1.5	2
11	2	1.90909	2
3	2	1.66667	2
2	2	1.5	2
4	2	1.75	2
33	2	1.9697	2
19	2	1.94737	2
3	2	1.66667	2
3	2	1.66667	2
2	2	1.5	2
2	2	1.5	2
2	2	1.5	2
5	2	1.8	2
2	2	1.5	2
2	2	1.5	2
5	2	1.4	2
2	2	1.5	2
3	2	1.66667	2
4	2	1.75	2
2	2	1.5	2
2	2	1.5	2
2	2	1.5	2
3	2	1.66667	2
7	2	1.85714	2
2	2	1.5	2
6	2	1.83333	2
2	2	1.5	2
2	2	1.5	2
18	2	1.83333	2
2	2	1.5	2
2	2	1.5	2
10	3	2.2	2.375
2	2	1.5	2
2	2	1.5	2
2	2	1.5	2
2	2	1.5	2
2	2	1.5	2
2	2	1.5	2
29	3	2.58621	2.69231
128	4	2.36719	2.41071
4	2	1.75	2
2	2	1.5	2
12	3	2.75	3
2	2	1.5	2
5	2	1.8	2
3	2	1.66667	2
3	3	2	3
3	2	1.66667	2
3	2	1.66667	2
2	2	1.5	2
2	2	1.5	2
2	2	1.5	2
49	5	3.57143	3.69697
2	2	1.5	2
3	2	1.33333	2
9	2	1.88889	2
2	2	1.5	2
2	2	1.5	2
2	2	1.5	2
2	2	1.5	2
2	2	1.5	2
2	2	1.5	2
2	2	1.5	2
2	2	1.5	2
2	2	1.5	2
6	4	2.83333	4
5	3	2.2	3
6	3	1.83333	3
3	3	2	3
2	2	1.5	2
2	2	1.5	2
82	4	2.7561	2.85075
158	5	2.25949	2.28682
23	2	1.95652	2
17	3	1.88235	2.07692
2	2	1.5	2
3	2	1.66667	2
2	2	1.5	2
3	2	1.66667	2
2	2	1.5	2
4	2	1.75	2
3	2	1.66667	2
5	3	1.6	3
2	2	1.5	2
10	2	1.2	2
2	2	1.5	2
6	2	1.83333	2
2	2	1.5	2
3	2	1.66667	2
2	2	1.5	2
3	2	1.33333	2
2	2	1.5	2
63	7	2.98413	3.75
5	2	1.8	2
5	2	1.6	2
3	2	1.66667	2
3	2	1.66667	2
5	2	1.4	2
2	2	1.5	2
2	2	1.5	2
9	4	2.22222	2.33333
6	2	1.83333	2
3	2	1.66667	2
5	2	1.8	2
2	2	1.5	2
2	2	1.5	2
3	3	2	3
2	2	1.5	2
2	2	1.5	2
2	2	1.5	2
2	2	1.5	2
4	3	2	2.5
3	2	1.66667	2
2	2	1.5	2
2	2	1.5	2
2	2	1.5	2
5	2	1.8	2
4	3	2.25	3
9	3	2.11111	2.33333
2	2	1.5	2
2	2	1.5	2
2	2	1.5	2
3	2	1.33333	2
2	2	1.5	2
2	2	1.5	2
2	2	1.5	2
2	2	1.5	2
4	3	1.75	3
6	3	1.83333	2.33333
3	2	1.66667	2
18	5	2.61111	3.3
2	2	1.5	2
3	2	1.66667	2
5	4	2.4	3
2	2	1.5	2
17	4	2.94118	3.66667
2	2	1.5	2
2	2	1.5	2
5	3	1.8	2.5
2	2	1.5	2
2	2	1.5	2
2	2	1.5	2
2	2	1.5	2
2	2	1.5	2
2	2	1.5	2
2	2	1.5	2
2	2	1.5	2
3	2	1.33333	2
2	2	1.5	2
2	2	1.5	2
2	2	1.5	2
2	2	1.5	2
2	2	1.5	2
2	2	1.5	2
2	2	1.5	2
3	2	1.66667	2
4	2	1.75	2
82	4	2.7561	2.85075
3	2	1.66667	2
2	2	1.5	2
4	2	1.75	2
10	2	1.2	2
2	2	1.5	2
6	2	1.83333	2
161	5	2.25466	2.2803
5	2	1.6	2
63	7	2.98413	3.75
5	2	1.8	2
3	2	1.66667	2
5	4	2.4	3
17	4	2.94118	3.66667
2	2	1.5	2
2	2	1.5	2
3	2	1.66667	2
3	2	1.66667	2
5	3	1.8	2.5
2	2	1.5	2
9	4	2.22222	2.33333
2	2	1.5	2
5	2	1.4	2
2	2	1.5	2
6	2	1.83333	2
17	3	1.88235	2.07692
23	2	1.95652	2
3	2	1.66667	2
2	2	1.5	2
2	2	1.5	2
2	2	1.5	2
2	2	1.5	2
2	2	1.5	2
3	2	1.66667	2
5	3	1.6	3
2	2	1.5	2
2	2	1.5	2
3	2	1.66667	2
2	2	1.5	2
2	2	1.5	2
2	2	1.5	2
2	2	1.5	2
3	2	1.33333	2
2	2	1.5	2
2	2	1.5	2
2	2	1.5	2
5	2	1.8	2
3	2	1.66667	2
5	2	1.8	2
2	2	1.5	2
2	2	1.5	2
3	3	2	3
2	2	1.5	2
2	2	1.5	2
2	2	1.5	2
2	2	1.5	2
4	3	2	2.5
3	2	1.66667	2
2	2	1.5	2
2	2	1.5	2
2	2	1.5	2
4	3	2.25	3
9	3	2.11111	2.33333
2	2	1.5	2
2	2	1.5	2
2	2	1.5	2
3	2	1.33333	2
2	2	1.5	2
2	2	1.5	2
2	2	1.5	2
2	2	1.5	2
4	3	1.75	3
6	3	1.83333	2.33333
18	5	2.61111	3.3
2	2	1.5	2
3	2	1.66667	2
2	2	1.5	2
2	2	1.5	2
3	2	1.33333	2
2	2	1.5	2
2	2	1.5	2
2	2	1.5	2
2	2	1.5	2
2	2	1.5	2
3	2	1.66667	2
4	2	1.75	2
82	4	2.7561	2.85075
3	2	1.66667	2
2	2	1.5	2
4	2	1.75	2
10	2	1.2	2
2	2	1.5	2
6	2	1.83333	2
147	5	2.27891	2.31356
5	2	1.6	2
63	7	2.98413	3.75
5	2	1.8	2
3	2	1.66667	2
5	4	2.4	3
17	4	2.94118	3.66667
2	2	1.5	2
2	2	1.5	2
3	2	1.66667	2
3	2	1.66667	2
5	3	1.8	2.5
2	2	1.5	2
9	4	2.22222	2.33333
2	2	1.5	2
5	2	1.4	2
2	2	1.5	2
6	2	1.83333	2
17	3	1.88235	2.07692
23	2	1.95652	2
3	2	1.66667	2
2	2	1.5	2
2	2	1.5	2
2	2	1.5	2
2	2	1.5	2
2	2	1.5	2
3	2	1.66667	2
5	3	1.6	3
2	2	1.5	2
2	2	1.5	2
3	2	1.66667	2
2	2	1.5	2
2	2	1.5	2
2	2	1.5	2
2	2	1.5	2
3	2	1.33333	2
2	2	1.5	2
2	2	1.5	2
2	2	1.5	2
2	2	1.5	2
3	2	1.33333	2
2	2	1.5	2
5	2	1.8	2
2	2	1.5	2
2	2	1.5	2
3	2	1.66667	2
2	2	1.5	2
2	2	1.5	2
5	2	1.8	2
2	2	1.5	2
3	3	2	3
2	2	1.5	2
2	2	1.5	2
2	2	1.5	2
2	2	1.5	2
4	3	2	2.5
3	2	1.66667	2
2	2	1.5	2
2	2	1.5	2
2	2	1.5	2
4	3	2.25	3
9	3	2.11111	2.33333
2	2	1.5	2
2	2	1.5	2
2	2	1.5	2
2	2	1.5	2
3	2	1.33333	2
2	2	1.5	2
2	2	1.5	2
2	2	1.5	2
2	2	1.5	2
4	3	1.75	3
6	3	1.83333	2.33333
18	5	2.61111	3.3
2	2	1.5	2
3	2	1.66667	2
2	2	1.5	2
3	2	1.66667	2
4	2	1.75	2
82	4	2.7561	2.85075
3	2	1.66667	2
2	2	1.5	2
4	2	1.75	2
10	2	1.2	2
2	2	1.5	2
6	2	1.83333	2
148	5	2.27703	2.31092
5	2	1.6	2
63	7	2.98413	3.75
5	2	1.8	2
3	2	1.66667	2
5	4	2.4	3
17	4	2.94118	3.66667
2	2	1.5	2
2	2	1.5	2
3	2	1.66667	2
3	2	1.66667	2
5	3	1.8	2.5
2	2	1.5	2
9	4	2.22222	2.33333
2	2	1.5	2
5	2	1.4	2
2	2	1.5	2
6	2	1.83333	2
17	3	1.88235	2.07692
23	2	1.95652	2
3	2	1.66667	2
2	2	1.5	2
2	2	1.5	2
2	2	1.5	2
2	2	1.5	2
2	2	1.5	2
3	2	1.66667	2
5	3	1.6	3
2	2	1.5	2
2	2	1.5	2
3	2	1.66667	2
2	2	1.5	2
2	2	1.5	2
2	2	1.5	2
2	2	1.5	2
3	2	1.33333	2
2	2	1.5	2
2	2	1.5	2
2	2	1.5	2
2	2	1.5	2
3	2	1.33333	2
2	2	1.5	2
5	2	1.8	2
2	2	1.5	2
3	2	1.66667	2
2	2	1.5	2
2	2	1.5	2
2	2	1.5	2
5	2	1.8	2
2	2	1.5	2
3	3	2	3
2	2	1.5	2
2	2	1.5	2
2	2	1.5	2
2	2	1.5	2
4	3	2	2.5
3	2	1.66667	2
2	2	1.5	2
2	2	1.5	2
2	2	1.5	2
4	3	2.25	3
9	3	2.11111	2.33333
2	2	1.5	2
2	2	1.5	2
2	2	1.5	2
2	2	1.5	2
3	2	1.33333	2
2	2	1.5	2
2	2	1.5	2
2	2	1.5	2
2	2	1.5	2
4	3	1.75	3
6	3	1.83333	2.33333
18	5	2.61111	3.3
2	2	1.5	2
3	2	1.66667	2
2	2	1.5	2
3	2	1.66667	2
4	2	1.75	2
82	4	2.7561	2.85075
3	2	1.66667	2
2	2	1.5	2
4	2	1.75	2
10	2	1.2	2
2	2	1.5	2
6	2	1.83333	2
152	5	2.26974	2.30081
5	2	1.6	2
63	7	2.98413	3.75
5	2	1.8	2
3	2	1.66667	2
5	4	2.4	3
17	4	2.94118	3.66667
2	2	1.5	2
2	2	1.5	2
3	2	1.66667	2
3	2	1.66667	2
5	3	1.8	2.5
2	2	1.5	2
9	4	2.22222	2.33333
2	2	1.5	2
5	2	1.4	2
2	2	1.5	2
6	2	1.83333	2
17	3	1.88235	2.07692
23	2	1.95652	2
3	2	1.66667	2
2	2	1.5	2
2	2	1.5	2
2	2	1.5	2
2	2	1.5	2
2	2	1.5	2
3	2	1.66667	2
5	3	1.6	3
2	2	1.5	2
2	2	1.5	2
3	2	1.66667	2
2	2	1.5	2
