#Nnodes	depth	mean_depth	Leaves_mean_depth
2	2	1.5	2
4	2	1.75	2
4	3	2	2.5
4	3	2.25	3
4	4	2.5	4
8	3	2.125	2.33333
8	3	2.125	2.4
8	3	2	2.16667
8	3	2.25	2.5
8	3	2.25	2.6
8	3	2.25	2.75
8	3	2.375	2.66667
8	3	2.375	2.8
8	3	2.375	3
8	3	2.5	2.83333
8	3	2.5	3
8	4	2.25	2.4
8	4	2.375	2.6
8	4	2.375	2.75
8	4	2.5	2.8
8	4	2.5	3
8	4	2.5	3.33333
8	4	2.625	3
8	4	2.625	3.25
8	4	2.625	3.33333
8	4	2.75	3.2
8	4	2.75	3.25
8	4	2.75	3.5
8	4	2.75	3.66667
8	4	2.875	3.4
8	4	2.875	3.5
8	4	2.875	3.75
8	4	2.875	4
8	4	3.125	3.8
8	4	3.125	4
8	4	3	3.6
8	4	3	3.75
8	4	3	4
8	5	2.625	2.75
8	5	2.75	3
8	5	2.75	3.33333
8	5	2.875	3.25
8	5	2.875	3.66667
8	5	3.125	3.75
8	5	3.125	4
8	5	3.125	4.33333
8	5	3.25	4
8	5	3.25	4.33333
8	5	3	3.5
8	5	3	3.66667
8	5	3.375	4.25
8	5	3.375	4.33333
8	5	3.375	4.66667
8	5	3.375	5
8	5	3	4
8	5	3	4.5
8	5	3.5	4.5
8	5	3.5	4.66667
8	5	3.625	4.75
8	5	3.625	5
8	5	3.75	5
8	6	3.125	3.33333
8	6	3.25	3.66667
8	6	3.25	4.5
8	6	3.375	4
8	6	3.5	4.33333
8	6	3.5	5
8	6	3.625	4.66667
8	6	3.75	5
8	6	3.75	5.5
8	6	3.875	5.33333
8	6	4	5.66667
8	7	3.75	4.5
8	7	3.875	5
8	7	4.125	6
8	8	4.5	8
16	4	2.5	2.7
16	4	2.5	2.72727
16	4	2.5625	2.9
16	4	2.5625	3
16	4	2.625	2.8
16	4	2.625	2.88889
16	4	2.625	3
16	4	2.625	3.125
16	4	2.6875	3
16	4	2.6875	3.11111
16	4	2.6875	3.125
16	4	2.75	3
16	4	2.75	3.1
16	4	2.75	3.11111
16	4	2.75	3.22222
16	4	2.75	3.25
16	4	2.75	3.42857
16	4	2.8125	3.1
16	4	2.8125	3.11111
16	4	2.8125	3.2
16	4	2.8125	3.22222
16	4	2.8125	3.25
16	4	2.8125	3.33333
16	4	2.8125	3.375
16	4	2.875	3.2
16	4	2.875	3.22222
16	4	2.875	3.3
16	4	2.875	3.33333
16	4	2.875	3.375
16	4	2.875	3.42857
16	4	2.875	3.44444
16	4	2.875	3.5
16	4	2.875	3.57143
16	4	2.9375	3.3
16	4	2.9375	3.4
16	4	2.9375	3.44444
16	4	2.9375	3.5
16	4	2.9375	3.71429
16	4	3.0625	3.5
16	4	3.0625	3.55556
16	4	3.0625	3.6
16	4	3.0625	3.625
16	4	3.0625	3.66667
16	4	3.0625	3.75
16	4	3.0625	3.85714
16	4	3.125	3.6
16	4	3.125	3.66667
16	4	3.125	3.77778
16	4	3.1875	3.77778
16	4	3	3.27273
16	4	3	3.4
16	4	3	3.44444
16	4	3	3.55556
16	4	3	3.625
16	5	2.625	2.88889
16	5	2.6875	3
16	5	2.75	2.9
16	5	2.75	3
16	5	2.75	3.11111
16	5	2.75	3.125
16	5	2.75	3.25
16	5	2.8125	3
16	5	2.8125	3.11111
16	5	2.8125	3.125
16	5	2.8125	3.22222
16	5	2.8125	3.25
16	5	2.875	3.1
16	5	2.875	3.2
16	5	2.875	3.22222
16	5	2.875	3.375
16	5	2.875	3.42857
16	5	2.9375	3.11111
16	5	2.9375	3.2
16	5	2.9375	3.22222
16	5	2.9375	3.25
16	5	2.9375	3.28571
16	5	2.9375	3.33333
16	5	2.9375	3.375
16	5	2.9375	3.42857
16	5	2.9375	3.44444
16	5	2.9375	3.5
16	5	2.9375	3.57143
16	5	2.9375	3.625
16	5	3.0625	3.3
16	5	3.0625	3.33333
16	5	3.0625	3.375
16	5	3.0625	3.4
16	5	3.0625	3.44444
16	5	3.0625	3.5
16	5	3.0625	3.55556
16	5	3.0625	3.57143
16	5	3.0625	3.625
16	5	3.0625	3.66667
16	5	3.0625	3.71429
16	5	3.0625	3.83333
16	5	3.125	3.4
16	5	3.125	3.5
16	5	3.125	3.55556
16	5	3.125	3.6
16	5	3.125	3.625
16	5	3.125	3.66667
16	5	3.125	3.71429
16	5	3.125	3.83333
16	5	3.125	3.85714
16	5	3.125	3.875
16	5	3.125	4
16	5	3.1875	3.4
16	5	3.1875	3.5
16	5	3.1875	3.54545
16	5	3.1875	3.55556
16	5	3.1875	3.6
16	5	3.1875	3.625
16	5	3.1875	3.66667
16	5	3.1875	3.71429
16	5	3.1875	3.75
16	5	3.1875	3.77778
16	5	3.1875	3.85714
16	5	3.1875	3.875
16	5	3.1875	4
16	5	3.25	3.625
16	5	3.25	3.66667
16	5	3.25	3.7
16	5	3.25	3.71429
16	5	3.25	3.75
16	5	3.25	3.77778
16	5	3.25	3.85714
16	5	3.25	3.875
16	5	3.25	3.88889
16	5	3.25	4
16	5	3.25	4.14286
16	5	3.3125	3.54545
16	5	3.3125	3.7
16	5	3.3125	3.75
16	5	3.3125	3.77778
16	5	3.3125	3.8
16	5	3.3125	3.875
16	5	3.3125	3.88889
16	5	3.3125	4
16	5	3.3125	4.125
16	5	3.3125	4.14286
16	5	3	3.2
16	5	3	3.22222
16	5	3	3.25
16	5	3	3.27273
16	5	3	3.3
16	5	3	3.33333
16	5	3	3.375
16	5	3	3.42857
16	5	3	3.44444
16	5	3	3.5
16	5	3	3.57143
16	5	3	3.625
16	5	3	3.66667
16	5	3	3.71429
16	5	3.375	3.7
16	5	3.375	3.77778
16	5	3.375	3.8
16	5	3.375	3.875
16	5	3.375	3.88889
16	5	3.375	4
16	5	3.375	4.125
16	5	3.375	4.14286
16	5	3.375	4.33333
16	5	3	3.83333
16	5	3.4375	3.8
16	5	3.4375	4
16	5	3.4375	4.125
16	5	3.4375	4.14286
16	5	3.4375	4.25
16	5	3.4375	4.28571
16	5	3.4375	4.33333
16	5	3.4375	4.5
16	5	3.5	3.88889
16	5	3.5	3.9
16	5	3.5	4
16	5	3.5	4.125
16	5	3.5	4.14286
16	5	3.5	4.25
16	5	3.5	4.28571
16	5	3.5	4.42857
16	5	3.5625	4
16	5	3.5625	4.125
16	5	3.5625	4.2
16	5	3.5625	4.22222
16	5	3.5625	4.25
16	5	3.5625	4.66667
16	5	3.625	4.22222
16	5	3.625	4.25
16	5	3.625	4.375
16	5	3.625	4.42857
16	5	3.625	4.57143
16	5	3.6875	4.22222
16	5	3.6875	4.44444
16	5	3.75	4.22222
16	5	3.75	4.33333
16	5	3.75	4.375
16	5	3.75	4.5
16	5	3.75	4.625
16	5	3.8125	4.5
16	5	3.9375	4.6
16	6	3.0625	3.2
16	6	3.0625	3.375
16	6	3.0625	3.57143
16	6	3.125	3.33333
16	6	3.125	3.375
16	6	3.125	3.42857
16	6	3.125	3.44444
16	6	3.125	3.5
16	6	3.125	3.71429
16	6	3.125	3.83333
16	6	3.1875	3.375
16	6	3.1875	3.4
16	6	3.1875	3.44444
16	6	3.1875	3.5
16	6	3.1875	3.55556
16	6	3.1875	3.57143
16	6	3.1875	3.71429
16	6	3.1875	3.85714
16	6	3.1875	4.16667
16	6	3.25	3.5
16	6	3.25	3.55556
16	6	3.25	3.625
16	6	3.25	3.66667
16	6	3.25	3.71429
16	6	3.25	3.75
16	6	3.25	3.85714
16	6	3.25	4
16	6	3	3.11111
16	6	3.3125	3.4
16	6	3.3125	3.44444
16	6	3.3125	3.6
16	6	3.3125	3.625
16	6	3.3125	3.66667
16	6	3.3125	3.75
16	6	3.3125	3.77778
16	6	3.3125	3.85714
16	6	3.3125	3.875
16	6	3.3125	4
16	6	3	3.22222
16	6	3	3.375
16	6	3	3.42857
16	6	3.375	3.55556
16	6	3.375	3.75
16	6	3.375	3.77778
16	6	3.375	3.85714
16	6	3.375	3.875
16	6	3.375	3.88889
16	6	3.375	4
16	6	3.375	4.14286
16	6	3.375	4.2
16	6	3.375	4.4
16	6	3.4375	3.6
16	6	3.4375	3.66667
16	6	3.4375	3.75
16	6	3.4375	3.77778
16	6	3.4375	3.8
16	6	3.4375	3.875
16	6	3.4375	3.88889
16	6	3.4375	4
16	6	3.4375	4.125
16	6	3.4375	4.14286
16	6	3.4375	4.28571
16	6	3.4375	4.33333
16	6	3.5	3.71429
16	6	3.5	3.75
16	6	3.5	3.77778
16	6	3.5	3.85714
16	6	3.5	3.875
16	6	3.5	3.9
16	6	3.5	4
16	6	3.5	4.125
16	6	3.5	4.14286
16	6	3.5	4.25
16	6	3.5	4.33333
16	6	3.5	4.42857
16	6	3.5625	3.88889
16	6	3.5625	3.9
16	6	3.5625	4
16	6	3.5625	4.125
16	6	3.5625	4.14286
16	6	3.5625	4.25
16	6	3.5625	4.28571
16	6	3.5625	4.33333
16	6	3.5625	4.375
16	6	3.5625	4.5
16	6	3.625	3.88889
16	6	3.625	3.9
16	6	3.625	4
16	6	3.625	4.11111
16	6	3.625	4.125
16	6	3.625	4.14286
16	6	3.625	4.25
16	6	3.625	4.375
16	6	3.625	4.42857
16	6	3.625	4.5
16	6	3.6875	4.11111
16	6	3.6875	4.125
16	6	3.6875	4.14286
16	6	3.6875	4.22222
16	6	3.6875	4.28571
16	6	3.6875	4.375
16	6	3.6875	4.5
16	6	3.6875	4.57143
16	6	3.75	4.1
16	6	3.75	4.14286
16	6	3.75	4.22222
16	6	3.75	4.28571
16	6	3.75	4.375
16	6	3.75	4.42857
16	6	3.75	4.5
16	6	3.75	4.57143
16	6	3.75	4.71429
16	6	3.75	4.83333
16	6	3.8125	4
16	6	3.8125	4.11111
16	6	3.8125	4.22222
16	6	3.8125	4.25
16	6	3.8125	4.33333
16	6	3.8125	4.375
16	6	3.8125	4.44444
16	6	3.8125	4.5
16	6	3.8125	4.57143
16	6	3.8125	4.625
16	6	3.8125	4.66667
16	6	3.8125	4.71429
16	6	3.8125	4.85714
16	6	3.875	4.22222
16	6	3.875	4.33333
16	6	3.875	4.375
16	6	3.875	4.5
16	6	3.875	4.57143
16	6	3.875	4.625
16	6	3.875	4.71429
16	6	3.875	4.83333
16	6	3.875	4.85714
16	6	3.875	5
16	6	3.9375	4.5
16	6	3.9375	4.57143
16	6	3.9375	4.625
16	6	3.9375	4.71429
16	6	3.9375	4.83333
16	6	3.9375	4.85714
16	6	4.0625	4.75
16	6	4.0625	4.77778
16	6	4.0625	5.16667
16	6	4.125	4.71429
16	6	4.125	4.75
16	6	4.125	4.875
16	6	4.125	5
16	6	4.125	5.125
16	6	4.1875	4.75
16	6	4.1875	5
16	6	4.25	4.88889
16	6	4.25	4.9
16	6	4.375	5.375
16	6	4	4.33333
16	6	4	4.55556
16	6	4	4.625
16	6	4	4.66667
16	6	4.5	5.22222
16	7	3.3125	3.57143
16	7	3.4375	3.71429
16	7	3.4375	3.75
16	7	3.4375	3.83333
16	7	3.5	3.85714
16	7	3.5	4
16	7	3.5625	3.75
16	7	3.5625	3.77778
16	7	3.5625	3.85714
16	7	3.5625	4.14286
16	7	3.625	3.71429
16	7	3.625	3.85714
16	7	3.625	3.875
16	7	3.625	4
16	7	3.625	4.16667
16	7	3.625	4.33333
16	7	3.625	4.66667
16	7	3.6875	3.875
16	7	3.6875	4
16	7	3.6875	4.125
16	7	3.6875	4.16667
16	7	3.6875	4.2
16	7	3.6875	4.25
16	7	3.6875	4.28571
16	7	3.6875	4.33333
16	7	3.6875	4.42857
16	7	3.75	4
16	7	3.75	4.11111
16	7	3.75	4.25
16	7	3.75	4.28571
16	7	3.75	4.33333
16	7	3.75	4.42857
16	7	3.75	4.5
16	7	3.75	4.57143
16	7	3.75	4.66667
16	7	3.8125	3.85714
16	7	3.8125	4.125
16	7	3.8125	4.22222
16	7	3.8125	4.42857
16	7	3.8125	4.6
16	7	3.875	4
16	7	3.875	4.33333
16	7	3.875	4.57143
16	7	3.875	4.625
16	7	3.875	4.83333
16	7	3.875	5
16	7	3.9375	4.25
16	7	3.9375	4.375
16	7	3.9375	4.57143
16	7	3.9375	4.71429
16	7	4.0625	4.44444
16	7	4.0625	4.57143
16	7	4.0625	4.625
16	7	4.0625	4.71429
16	7	4.0625	4.75
16	7	4.0625	4.85714
16	7	4.0625	4.875
16	7	4.0625	5.2
16	7	4.125	4.55556
16	7	4.125	4.57143
16	7	4.125	4.625
16	7	4.125	4.75
16	7	4.125	4.83333
16	7	4.1875	4.66667
16	7	4.1875	4.85714
16	7	4.1875	5
16	7	4.1875	5.16667
16	7	4.1875	5.33333
16	7	4.25	4.875
16	7	4.25	5
16	7	4.25	5.16667
16	7	4.25	5.33333
16	7	4.3125	4.71429
16	7	4.3125	4.875
16	7	4.375	5
16	7	4.375	5.14286
16	7	4.375	5.25
16	7	4.375	5.6
16	7	4	4.375
16	7	4.4375	4.88889
16	7	4.4375	5
16	7	4.4375	5.25
16	7	4.4375	5.66667
16	7	4.4375	5.8
16	7	4	4.57143
16	7	4	4.625
16	7	4	4.75
16	7	4	4.85714
16	7	4.5	5
16	7	4.5	5.14286
16	7	4.5	5.42857
16	7	4.5625	5.28571
16	7	4.625	5.3
16	7	4.625	5.42857
16	7	4.625	5.5
16	7	4.625	5.57143
16	7	4.75	5.625
16	7	4.75	6
16	7	4.75	6.4
16	8	3.8125	5
16	8	3.9375	4.125
16	8	4.0625	4.5
16	8	4.0625	4.66667
16	8	4.125	4.42857
16	8	4.125	4.66667
16	8	4.1875	4.625
16	8	4.25	5
16	8	4.3125	4.55556
16	8	4.375	4.875
16	8	4.4375	4.625
16	8	4.4375	5.66667
16	8	4.5	5
16	8	4.5625	5.28571
16	8	4.5625	5.375
16	8	4.5625	6
16	8	4.6875	5.33333
16	8	4.6875	5.5
16	8	4.75	5.83333
16	8	4.8125	6.33333
16	9	4.25	5
16	9	4.75	5
16	9	5.25	5.83333
16	9	5.3125	6.33333
16	9	5	5.85714
32	10	4.53125	5.15385
32	10	4.71875	5
32	10	4.75	5
32	10	4.84375	5.26667
32	10	5.09375	5.84615
32	10	5.15625	5.4375
32	10	5.1875	5.86667
32	10	5.25	5.78571
32	10	5.25	5.8
32	10	5.5	5.76471
32	10	5.5	6.14286
32	10	5.5625	6.05882
32	10	5.65625	6.35294
32	10	5.96875	6.8125
32	10	6.03125	6.93333
32	10	6.03125	7.06667
32	10	6.15625	6.66667
32	11	4.75	4.6875
32	11	5.40625	5.66667
32	11	6.1875	7
32	11	6.3125	7
32	12	6.6875	7.46154
32	5	3.0625	3.28571
32	5	3.0625	3.44444
32	5	3.125	3.45
32	5	3.125	3.61111
32	5	3.15625	3.45
32	5	3.1875	3.57895
32	5	3.1875	3.61111
32	5	3.1875	3.66667
32	5	3.21875	3.76471
32	5	3.25	3.55
32	5	3.25	3.68421
32	5	3.25	3.70588
32	5	3.25	3.72222
32	5	3.28125	3.66667
32	5	3.28125	3.68421
32	5	3.28125	3.75
32	5	3.28125	3.77778
32	5	3.28125	3.8
32	5	3.28125	3.8125
32	5	3.3125	3.77778
32	5	3.3125	3.82353
32	5	3.3125	3.85714
32	5	3.34375	3.63158
32	5	3.34375	3.66667
32	5	3.34375	3.68421
32	5	3.34375	3.77778
32	5	3.34375	3.8125
32	5	3.34375	3.82353
32	5	3.375	3.83333
32	5	3.375	3.88235
32	5	3.375	3.88889
32	5	3.375	4
32	5	3.375	4.06667
32	5	3.40625	3.77778
32	5	3.40625	3.78947
32	5	3.40625	3.83333
32	5	3.40625	3.88235
32	5	3.40625	4
32	5	3.4375	3.83333
32	5	3.4375	3.9375
32	5	3.4375	3.94118
32	5	3.4375	4.0625
32	5	3.4375	4.14286
32	5	3.46875	3.85
32	5	3.46875	3.89474
32	5	3.46875	3.94118
32	5	3.46875	3.94444
32	5	3.46875	3.94737
32	5	3.46875	4
32	5	3.53125	4.29412
32	5	3.5	4.11765
32	5	3.5	4.13333
32	5	3.5625	4
32	5	3.5625	4.05882
32	5	3.59375	4.17647
32	5	3.625	4.22222
32	5	3.625	4.29412
32	5	3.625	4.3125
32	5	3.625	4.33333
32	5	3.65625	4.35714
32	5	3.6875	4.4
32	5	3.78125	4.5
32	5	3.8125	4.41176
32	6	3.15625	3.58824
32	6	3.1875	3.52941
32	6	3.21875	3.58824
32	6	3.21875	3.78571
32	6	3.25	3.73333
32	6	3.28125	3.52381
32	6	3.28125	3.66667
32	6	3.28125	3.6875
32	6	3.28125	3.8125
32	6	3.28125	3.92308
32	6	3.3125	3.58824
32	6	3.3125	3.6
32	6	3.3125	3.75
32	6	3.34375	3.55
32	6	3.34375	3.72222
32	6	3.34375	3.75
32	6	3.34375	3.76471
32	6	3.34375	3.82353
32	6	3.34375	3.86667
32	6	3.34375	3.92857
32	6	3.375	3.65
32	6	3.375	3.82353
32	6	3.375	3.88235
32	6	3.375	3.9375
32	6	3.40625	3.70588
32	6	3.40625	3.77778
32	6	3.40625	3.8
32	6	3.40625	3.82353
32	6	3.40625	3.83333
32	6	3.40625	3.84211
32	6	3.40625	3.88235
32	6	3.40625	3.92857
32	6	3.4375	3.71429
32	6	3.4375	3.88235
32	6	3.4375	3.88889
32	6	3.4375	3.9375
32	6	3.4375	4.14286
32	6	3.46875	3.78947
32	6	3.46875	3.8125
32	6	3.46875	3.84211
32	6	3.46875	3.88889
32	6	3.46875	3.9375
32	6	3.46875	3.94118
32	6	3.46875	4
32	6	3.46875	4.0625
32	6	3.46875	4.14286
32	6	3.53125	3.83333
32	6	3.53125	3.88889
32	6	3.53125	3.89474
32	6	3.53125	3.94118
32	6	3.53125	3.94444
32	6	3.53125	4
32	6	3.53125	4.125
32	6	3.53125	4.14286
32	6	3.53125	4.21429
32	6	3.5	3.68421
32	6	3.5	3.84211
32	6	3.5	3.88235
32	6	3.5	3.88889
32	6	3.5	3.94118
32	6	3.5	4
32	6	3.5	4.05556
32	6	3.5	4.0625
32	6	3.5	4.07143
