#Nnodes	depth	mean_depth	Leaves_mean_depth
2	2	1.5	2
4	2	1.75	2
4	3	2	2.5
4	3	2.25	3
4	4	2.5	4
8	3	2.125	2.33333
8	3	2.125	2.4
8	3	2	2.16667
8	3	2.25	2.5
8	3	2.25	2.6
8	3	2.25	2.75
8	3	2.375	2.8
8	3	2.375	3
8	3	2.5	2.83333
8	3	2.5	3
8	3	2.625	3
8	4	2.375	2.75
8	4	2.5	2.8
8	4	2.5	3
8	4	2.5	3.33333
8	4	2.625	3
8	4	2.625	3.25
8	4	2.625	3.33333
8	4	2.75	3.2
8	4	2.75	3.25
8	4	2.75	3.5
8	4	2.75	3.66667
8	4	2.875	3.4
8	4	2.875	3.5
8	4	2.875	3.75
8	4	2.875	4
8	4	3.125	3.8
8	4	3.125	4
8	4	3.25	4
8	4	3	3.6
8	4	3	3.75
8	4	3	4
8	5	2.75	3
8	5	2.75	3.33333
8	5	2.875	3.25
8	5	2.875	3.66667
8	5	3.125	3.75
8	5	3.125	4
8	5	3.125	4.33333
8	5	3.25	4
8	5	3.25	4.33333
8	5	3	3.5
8	5	3	3.66667
8	5	3.375	4.25
8	5	3.375	4.33333
8	5	3.375	4.66667
8	5	3.375	5
8	5	3	4
8	5	3	4.5
8	5	3.5	4.5
8	5	3.5	4.66667
8	5	3.625	4.75
8	5	3.625	5
8	5	3.75	5
8	6	3.125	3.33333
8	6	3.25	3.66667
8	6	3.25	4.5
8	6	3.375	4
8	6	3.5	4.33333
8	6	3.5	5
8	6	3.625	4.66667
8	6	3.75	5
8	6	3.75	5.5
8	6	3.875	5.33333
8	6	4.125	6
8	6	4	5.66667
8	6	4	6
8	7	3.75	4.5
8	7	3.875	5
8	7	4.125	6
8	7	4.25	6.5
8	7	4.375	7
8	7	4	5.5
8	8	4.5	8
16	10	4.5625	4.6
16	10	4.5625	4.8
16	10	4.625	4.6
16	10	4.6875	5.5
16	10	4.75	5.2
16	10	4.875	5.4
16	10	5.0625	5.6
16	10	5.0625	5.66667
16	10	5.0625	6.2
16	10	5.125	5.28571
16	10	5.125	5.5
16	10	5.125	5.66667
16	10	5.1875	5.5
16	10	5.25	5.83333
16	10	5.25	6.16667
16	10	5.3125	6.16667
16	10	5.3125	6.33333
16	10	5.3125	6.8
16	10	5.375	6
16	10	5.375	6.16667
16	10	5.375	6.75
16	10	5.375	6.8
16	10	5.4375	6
16	10	5.4375	7
16	10	5.5	6.14286
16	10	5.5	6.16667
16	10	5.5625	6.5
16	10	5.5625	6.83333
16	10	5.5	7.5
16	10	5.625	6.5
16	10	5.625	7.2
16	10	5.625	7.5
16	10	5.6875	6.8
16	10	5.6875	6.83333
16	10	5.6875	7.16667
16	10	5.75	6.5
16	10	5.75	6.71429
16	10	5.75	7
16	10	5.75	7.2
16	10	5.75	7.4
16	10	5.8125	6.66667
16	10	5.8125	6.85714
16	10	5.8125	7.16667
16	10	5.8125	7.2
16	10	5.875	7.2
16	10	5.875	7.25
16	10	5.9375	7.14286
16	10	5.9375	7.4
16	10	5.9375	7.5
16	10	6.0625	7.33333
16	10	6.0625	7.4
16	10	6.0625	7.42857
16	10	6.0625	7.5
16	10	6.0625	7.83333
16	10	6.0625	8.25
16	10	6.125	7.33333
16	10	6.125	7.5
16	10	6.125	7.57143
16	10	6.125	7.8
16	10	6.125	7.83333
16	10	6.125	8.16667
16	10	6.125	8.5
16	10	6.1875	7.8
16	10	6.25	10
16	10	6.25	7.83333
16	10	6.25	7.85714
16	10	6.25	8.2
16	10	6.25	8.5
16	10	6.3125	7.8
16	10	6.3125	7.83333
16	10	6.3125	8
16	10	6.3125	8.33333
16	10	6.375	7.8
16	10	6.375	8
16	10	6.375	8.16667
16	10	6.375	8.25
16	10	6.375	8.75
16	10	6.4375	8.16667
16	10	6.4375	8.2
16	10	6.4375	8.33333
16	10	6.4375	8.6
16	10	6.4375	8.8
16	10	6.4375	9
16	10	6.5625	8.8
16	10	6.5625	9.25
16	10	6.5	8.2
16	10	6.5	8.33333
16	10	6.5	8.6
16	10	6.5	9
16	10	6.625	8.8
16	10	6.625	8.83333
16	10	6.625	9
16	10	6.6875	8.83333
16	10	6.6875	9
16	10	6.6875	9.2
16	10	6	7
16	10	6	7.16667
16	10	6	7.28571
16	10	6.75	9
16	10	6.75	9.2
16	10	6	8
16	10	6.8125	9.16667
16	10	6.8125	9.33333
16	10	6.8125	9.4
16	10	6	8.4
16	10	6.875	9.6
16	10	6.9375	9.8
16	10	7.0625	10
16	10	7.0625	9.83333
16	10	7	9.57143
16	11	5.375	5.16667
16	11	5.375	5.8
16	11	5.5625	5.66667
16	11	5.5625	6
16	11	5.5	6.5
16	11	5.625	6.4
16	11	5.625	6.6
16	11	5.75	6.6
16	11	5.75	7
16	11	5.8125	7.75
16	11	5.875	6.5
16	11	5.875	7.4
16	11	6.0625	6.6
16	11	6.0625	7
16	11	6.125	7.16667
16	11	6.125	7.6
16	11	6.125	8.25
16	11	6.1875	6.8
16	11	6.1875	7.2
16	11	6.1875	7.33333
16	11	6.1875	8
16	11	6.25	7
16	11	6.25	7.5
16	11	6.25	7.6
16	11	6.25	8.5
16	11	6.3125	7.2
16	11	6.3125	7.4
16	11	6.3125	7.8
16	11	6.3125	8
16	11	6.375	7.6
16	11	6.375	7.83333
16	11	6.375	8.4
16	11	6.375	8.5
16	11	6.375	8.6
16	11	6.4375	8
16	11	6.4375	8.2
16	11	6.5625	8.2
16	11	6.5625	8.25
16	11	6.5625	8.6
16	11	6.5625	9
16	11	6.5625	9.4
16	11	6.5	8
16	11	6.5	8.16667
16	11	6.5	8.5
16	11	6.5	8.8
16	11	6.5	9.4
16	11	6.625	8.5
16	11	6.625	8.6
16	11	6.625	9
16	11	6	6.8
16	11	6	6.83333
16	11	6.6875	8.6
16	11	6	7
16	11	6.75	8.6
16	11	6.75	8.8
16	11	6.75	8.83333
16	11	6.75	9.5
16	11	6	7.8
16	11	6.8125	9
16	11	6.875	9
16	11	6.875	9.16667
16	11	6.875	9.2
16	11	6.9375	9.4
16	11	7.0625	9.75
16	11	7.0625	9.8
16	11	7.125	10
16	11	7.1875	10
16	11	7.1875	10.2
16	11	7.375	10.6
16	11	7.4375	10.8
16	11	7.5	11
16	11	7	9.4
16	12	5.6875	5.75
16	12	5.875	5.6
16	12	5.9375	6.5
16	12	6.0625	7
16	12	6.125	7.25
16	12	6.1875	7
16	12	6.25	7.25
16	12	6.25	7.66667
16	12	6.25	8
16	12	6.3125	7
16	12	6.3125	7.75
16	12	6.375	7.2
16	12	6.375	7.5
16	12	6.375	8
16	12	6.4375	7.4
16	12	6.5625	7.8
16	12	6.5625	8.5
16	12	6.5625	8.75
16	12	6.5625	9
16	12	6.5	7.6
16	12	6.625	8.5
16	12	6.6875	7.75
16	12	6.6875	8.2
16	12	6.6875	8.5
16	12	6.75	8.4
16	12	6.8125	8.6
16	12	6.8125	9
16	12	6.875	8.25
16	12	6.875	9.25
16	12	6.875	9.66667
16	12	6.9375	8.5
16	12	6.9375	9
16	12	7.0625	9
16	12	7.0625	9.4
16	12	7.125	9.6
16	12	7.1875	9.5
16	12	7.1875	9.8
16	12	7.25	10
16	12	7.25	9.75
16	12	7.3125	10.2
16	12	7.3125	10.25
16	12	7.3125	10.75
16	12	7.375	10.4
16	12	7.4375	10.6
16	12	7.4375	10.75
16	12	7.5	11.6667
16	12	7.625	11.25
16	12	7.6875	11.5
16	12	7	9
16	12	7	9.2
16	13	6.125	5
16	13	6.375	7
16	13	6.5625	8
16	13	6.5	6.5
16	13	6.5	7.33333
16	13	6.75	7.5
16	13	6.8125	7.75
16	13	6.8125	8.33333
16	13	6.8125	8.66667
16	13	6.8125	9.66667
16	13	6.875	9.66667
16	13	6.9375	8.25
16	13	7.0625	8.75
16	13	7.125	9
16	13	7.25	9.5
16	13	7.3125	11
16	13	7.375	10
16	13	7.4375	9.66667
16	13	7.5	10.3333
16	13	7.5	10.5
16	13	7.5625	10.75
16	13	7.6875	11
16	13	7.6875	11.25
16	13	7.8125	11.75
16	13	7	9.66667
16	13	8	12.5
16	14	6.875	6.33333
16	14	7.1875	8
16	14	7.3125	8.66667
16	14	7.4375	9.33333
16	14	7.625	10.3333
16	14	7.75	11
16	14	7.875	11.6667
16	14	8.0625	12.6667
16	15	7.75	9.5
16	15	7.875	10.5
16	15	8.125	12.5
16	15	8.4375	15
16	16	8.5	16
16	4	2.5625	2.9
16	4	2.6875	3
16	4	2.6875	3.1
16	4	2.8125	3.22222
16	4	2.8125	3.33333
16	4	2.8125	3.66667
16	4	2.875	3.18182
16	4	2.875	3.22222
16	4	2.875	3.375
16	4	2.9375	3.4
16	4	2.9375	3.44444
16	4	3.0625	3.6
16	4	3.0625	3.75
16	4	3.125	3.54545
16	4	3.125	3.66667
16	4	3.125	3.77778
16	4	3.125	3.875
16	4	3.125	4
16	4	3.1875	3.7
16	4	3.1875	3.77778
16	4	3.1875	4
16	4	3.25	3.63636
16	5	3.125	3.625
16	5	3.125	3.85714
16	5	3.1875	3.77778
16	5	3.1875	3.85714
16	5	3.1875	3.875
16	5	3.1875	4.16667
16	5	3.25	3.77778
16	5	3.25	3.875
16	5	3.25	4
16	5	3.25	4.14286
16	5	3.25	4.16667
16	5	3.25	4.4
16	5	3.3125	3.875
16	5	3.3125	3.88889
16	5	3.3125	4
16	5	3.3125	4.14286
16	5	3.3125	4.16667
16	5	3.3125	4.28571
16	5	3.375	4
16	5	3.375	4.28571
16	5	3.4375	4
16	5	3.4375	4.125
16	5	3.4375	4.14286
16	5	3.4375	4.375
16	5	3.5	3.9
16	5	3.5	4.11111
16	5	3.5	4.25
16	5	3.5	4.375
16	5	3.5625	4
16	5	3.5625	4.11111
16	5	3.5625	4.22222
16	5	3.5625	4.5
16	5	3.5625	4.66667
16	5	3.625	4.1
16	5	3.625	4.375
16	5	3.6875	4.33333
16	5	3.6875	4.375
16	5	3.6875	4.44444
16	5	3.6875	4.57143
16	5	3.75	4.33333
16	5	3.75	4.44444
16	5	3.75	4.5
16	5	3.8125	4.5
16	5	3.8125	4.625
16	5	3.8125	4.75
16	5	3.8125	5
16	5	3.875	4.625
16	5	3.875	4.75
16	5	3.9375	4.85714
16	5	4.1875	4.9
16	5	4	4.875
16	6	3.4375	3.875
16	6	3.5	4.125
16	6	3.5625	4.33333
16	6	3.625	4.11111
16	6	3.625	4.25
16	6	3.625	4.5
16	6	3.625	4.57143
16	6	3.6875	4.66667
16	6	3.75	4.25
16	6	3.75	4.5
16	6	3.75	4.57143
16	6	3.8125	4.5
16	6	3.8125	4.57143
16	6	3.8125	4.625
16	6	3.8125	4.71429
16	6	3.8125	4.83333
16	6	3.8125	5.2
16	6	3.875	4.44444
16	6	3.875	4.57143
16	6	3.875	4.66667
16	6	3.875	4.83333
16	6	3.875	4.85714
16	6	3.875	5
16	6	3.875	5.16667
16	6	3.875	5.2
16	6	3.9375	4.5
16	6	3.9375	4.57143
16	6	3.9375	4.625
16	6	3.9375	4.71429
16	6	3.9375	4.75
16	6	3.9375	4.875
16	6	4.0625	4.71429
16	6	4.0625	4.75
16	6	4.0625	4.77778
16	6	4.0625	4.85714
16	6	4.0625	4.875
16	6	4.0625	5
16	6	4.0625	5.14286
16	6	4.0625	5.16667
16	6	4.0625	5.6
16	6	4.125	4.7
16	6	4.125	4.875
16	6	4.125	4.88889
16	6	4.125	5
16	6	4.1875	5
16	6	4.1875	5.14286
16	6	4.1875	5.16667
16	6	4.1875	5.66667
16	6	4.25	4.85714
16	6	4.25	4.875
16	6	4.25	4.88889
16	6	4.25	4.9
16	6	4.25	5.125
16	6	4.25	5.28571
16	6	4.25	5.33333
16	6	4.3125	5
16	6	4.3125	5.11111
16	6	4.3125	5.14286
16	6	4.3125	5.28571
16	6	4.3125	5.33333
16	6	4.3125	5.375
16	6	4.3125	5.42857
16	6	4.3125	5.83333
16	6	4.3125	6
16	6	4.375	5.11111
16	6	4.375	5.25
16	6	4.375	5.28571
16	6	4.375	5.375
16	6	4.375	5.5
16	6	4.375	5.57143
16	6	4.375	5.8
16	6	4.4375	5.375
16	6	4.4375	5.42857
16	6	4.4375	5.66667
16	6	4.4375	5.71429
16	6	4	4.625
16	6	4	4.66667
16	6	4	4.71429
16	6	4	4.77778
16	6	4	5
16	6	4	5.16667
16	6	4.5	5.5
16	6	4.5	5.57143
16	6	4.5	5.66667
16	6	4.5625	5.44444
16	6	4.5625	5.5
16	6	4.5625	5.625
16	6	4.5625	5.71429
16	6	4.5625	5.83333
16	6	4.5625	5.85714
16	6	4.625	5.55556
16	6	4.6875	5.85714
16	6	4.75	5.875
16	6	4.8125	5.875
16	7	3.5	4
16	7	3.8125	4.57143
16	7	4.0625	4.71429
16	7	4.0625	4.85714
16	7	4.125	4.75
16	7	4.125	5
16	7	4.125	5.14286
16	7	4.1875	4.85714
16	7	4.25	4.85714
16	7	4.25	5
16	7	4.25	5.16667
16	7	4.25	5.33333
16	7	4.25	5.5
16	7	4.25	5.6
16	7	4.3125	4.88889
16	7	4.3125	5.5
16	7	4.3125	5.6
16	7	4.3125	5.66667
16	7	4.3125	6.25
16	7	4.375	4.85714
16	7	4.375	5.125
16	7	4.375	5.28571
16	7	4.375	5.33333
16	7	4.375	5.5
16	7	4.375	5.66667
16	7	4.375	5.8
16	7	4	4.28571
16	7	4.4375	5.125
16	7	4.4375	5.33333
16	7	4.4375	5.4
16	7	4.4375	5.5
16	7	4.4375	5.71429
16	7	4	4.625
16	7	4	4.85714
16	7	4	5.16667
16	7	4.5	5.125
16	7	4.5	5.25
16	7	4.5	5.375
16	7	4.5	5.42857
16	7	4.5	5.5
16	7	4.5	5.57143
16	7	4.5	5.66667
16	7	4.5625	5.16667
16	7	4.5625	5.375
16	7	4.5625	5.5
16	7	4.5625	5.66667
16	7	4.5625	5.71429
16	7	4.5625	5.85714
16	7	4.5625	5.875
16	7	4.625	5.125
16	7	4.625	5.375
16	7	4.625	5.42857
16	7	4.625	5.5
16	7	4.625	5.83333
16	7	4.625	6
16	7	4.6875	5.33333
16	7	4.6875	5.44444
16	7	4.6875	5.5
16	7	4.6875	5.625
16	7	4.6875	5.71429
16	7	4.6875	5.83333
16	7	4.6875	6.2
16	7	4.75	5.55556
16	7	4.75	5.625
16	7	4.75	5.66667
16	7	4.75	5.71429
16	7	4.75	5.85714
16	7	4.75	6
16	7	4.75	6.33333
16	7	4.8125	5.57143
16	7	4.8125	5.625
16	7	4.8125	5.875
16	7	4.8125	6
16	7	4.8125	6.14286
16	7	4.8125	6.16667
16	7	4.8125	6.33333
16	7	4.8125	6.4
16	7	4.8125	6.5
16	7	4.875	5.7
16	7	4.875	5.75
16	7	4.875	5.85714
16	7	4.875	6
16	7	4.875	6.16667
16	7	4.875	6.6
16	7	4.9375	5.75
16	7	4.9375	6
16	7	4.9375	6.125
16	7	4.9375	6.14286
16	7	4.9375	6.25
16	7	4.9375	6.4
16	7	4.9375	6.66667
16	7	5.0625	6.14286
16	7	5.0625	6.42857
16	7	5.0625	6.5
16	7	5.125	6.11111
16	7	5.125	6.125
16	7	5.125	6.57143
16	7	5.1875	6.28571
16	7	5.1875	6.375
16	7	5.1875	6.42857
16	7	5.1875	6.57143
16	7	5.1875	6.71429
16	7	5.25	6.57143
16	7	5.25	6.625
16	7	5.25	6.85714
16	7	5.3125	6.71429
16	7	5.5	6.875
16	7	5.5	7
16	7	5	6
16	7	5	6.14286
16	7	5	6.25
16	7	5	6.28571
16	7	5	6.42857
16	7	5	6.83333
16	8	4.0625	4.375
16	8	4.125	4.42857
16	8	4.1875	4.83333
16	8	4.1875	5
16	8	4.25	5.16667
16	8	4.375	5.5
16	8	4.4375	5.14286
16	8	4.5	5
16	8	4.5	5.28571
16	8	4.5	5.33333
16	8	4.5	5.71429
16	8	4.5	6
16	8	4.5625	5.14286
16	8	4.5625	5.28571
16	8	4.5625	5.5
16	8	4.5625	5.8
16	8	4.625	5.11111
16	8	4.625	5.28571
16	8	4.625	5.375
16	8	4.625	5.5
16	8	4.625	5.66667
16	8	4.625	5.71429
16	8	4.6875	5.125
16	8	4.6875	5.33333
16	8	4.6875	5.42857
16	8	4.6875	5.57143
16	8	4.6875	5.8
16	8	4.6875	6.33333
16	8	4.6875	6.75
16	8	4.75	5.83333
16	8	4.75	6
16	8	4.8125	6.16667
16	8	4.8125	6.2
16	8	4.875	5.71429
16	8	4.875	5.75
16	8	4.875	5.8
16	8	4.875	5.83333
16	8	4.875	6
16	8	4.9375	5.42857
16	8	4.9375	5.625
16	8	4.9375	5.66667
16	8	4.9375	5.85714
16	8	4.9375	6
16	8	4.9375	6.125
16	8	4.9375	6.14286
16	8	4.9375	6.16667
16	8	4.9375	6.4
16	8	4.9375	6.83333
16	8	4.9375	7.5
16	8	5.0625	5.875
16	8	5.0625	6
16	8	5.0625	6.2
16	8	5.0625	6.33333
16	8	5.0625	6.5
16	8	5.125	5.83333
16	8	5.125	5.85714
16	8	5.125	6.14286
16	8	5.125	6.28571
16	8	5.125	6.5
16	8	5.125	6.6
16	8	5.125	6.71429
16	8	5.125	7.66667
16	8	5.1875	6.14286
16	8	5.1875	6.28571
16	8	5.1875	6.42857
16	8	5.1875	6.83333
16	8	5.1875	7
16	8	5.25	6.14286
16	8	5.25	6.2
16	8	5.25	6.33333
16	8	5.25	6.5
16	8	5.25	6.71429
16	8	5.25	6.83333
16	8	5.25	7.25
16	8	5.3125	6.28571
16	8	5.3125	6.375
16	8	5.3125	6.42857
16	8	5.3125	6.5
16	8	5.3125	6.57143
16	8	5.3125	6.66667
16	8	5.3125	6.8
16	8	5.3125	7.2
16	8	5.375	6.375
16	8	5.375	6.5
16	8	5.375	6.66667
16	8	5.375	6.71429
16	8	5.375	6.83333
16	8	5.375	7
16	8	5.375	7.2
16	8	5.4375	6.57143
16	8	5.4375	6.85714
16	8	5.4375	7
16	8	5.4375	7.16667
16	8	5.4375	7.2
16	8	5.4375	7.4
