1	0	106	0	114	0	133	0	128	0	131	0	116	0	110	0	117	0	126	0	125	
2	1.60714	106	1.53571	114	1.4375	133	1.48485	128	1.42424	131	1.57143	116	1.64286	110	1.5	117	1.31429	126	1.53125	125	
3	1.375	106	1.33333	114	1.35	133	1.45	128	1.42857	131	1.2381	116	1.16667	110	1.44444	117	1.55556	126	1.45	125	
4	2	106	1.9	114	1.21429	133	1.38462	128	1.5	131	1.8	116	1.9	110	1.7	117	1.6	126	1.6	125	
5	1.66667	106	1.25	114	1.5	133	2	128	1.66667	131	1.75	116	1.75	110	1.75	117	1.8	126	1.5	125	
6	1	106	2	114	1.6	133	1	128	2	131	1	116	3	110	2	117	2.5	126	1	125	
7	2	106	2	114	2	133	1	128	1	131	2	116	12	110	4	117	1	126	1	125	
8	3	106	3	114	3	133	4	128	1	131	3	116	NaN	NaN	11	117	1	126	2	125	
9	12	106	12	114	13	133	12	128	2	131	13	116	NaN	NaN	NaN	NaN	2	126	4	125	
10	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	131	NaN	NaN	NaN	NaN	NaN	NaN	3	126	12	125	
11	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11	131	NaN	NaN	NaN	NaN	NaN	NaN	13	126	NaN	NaN	
12	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
13	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
